,comment,Upgrade Policy,Upgrade Policy_explanation,Upgrade Policy_sentiment,Freq Flyer Program Value,Freq Flyer Program Value_explanation,Freq Flyer Program Value_sentiment,Extra Charges/Hidden Fees,Extra Charges/Hidden Fees_explanation,Extra Charges/Hidden Fees_sentiment
10,"✅ Trip Verified |  Tel Aviv to Newark. I Put out some extra dollars for “Premium plus” cabin which was touted as business class comparable. Cost just over $3000 round trip for the ticket and not with it. Firstly - I was denied access to the lavatory right in front of me, mind you I did not have to pass through or by Polaris cabin. The fact that the toilet was not available to premium plus cabin customers would have been ok if that was the policy except that everyone else in my cabin was using it and even economy class customers. On asking why I was denied the flight attendant rudely replied to use the lavatory at the back in economy where my seat was although I indicated it was in premium plus. Secondly, the meal I was served was the same as economy class although it was advertised to be the same as Polaris. The economy class packaged meal was cold as a dog’s nose, the bread was stale and crumbling apart - and when I told the flight attendant, mind you I mentioned that I knew it was not her fault and would be happy with a snack or some chips to which she said no, she went on to Insult me and said that it was my fault that the meal was cold to my amazement? I immediately thought to myself - I just be in the twilight zone! She then signals to other flight attendants and points at me in an aggressive manner. At no time was I disrespectful or raised my voice. Now this made me very embarrassed and concerned for my safety so After declining to participate in any further refreshments out of fear and sitting quietly in my seat for 10 + hours into the flight, the flight attendant comes up to me and asks why I did t eat or drink anything for the approx. 12 hour flight and if I wanted anything just when the pilot instructs to fasten seatbelts for us to land. Really? I cannot comprehend why I was treated in such a poor manner but will be sure to spread the word as far and as wide in as many forums as possible in as many languages as I could This is the Worse Customer experience I’ve ever encountered and exacerbated as I was fearful for my wellbeing and worried of being victimized by the flight attendant.",True,"Poor treatment in ""Premium plus"" cabin, denied lavatory use, served cold economy class meal, flight attendant insult and aggressive behavior",Negative,True,"Poor treatment in Premium Plus cabin, denied lavatory use, served economy class meal, and felt embarrassed and unsafe.",Negative,True,"Poor treatment in Premium Plus cabin, denied lavatory use, served economy class meal, and felt insulted by the flight attendant.",Negative
11,"Not Verified |  I went to check-in 24 hours before my flight and went through the entire process. At the end of the check-in process, the notification said because I purchased an economy ticket AND I’m not checking a bag, I have to check-in at the counter so they can see I’m not bringing a bag. That is the most ridiculous policy ever! I’m guessing people end up paying the $30 as if they were checking a bag to get their boarding pass without having to stand in line at the airport. A back handed way to get more money.",True,"conomy ticket holders without bags must check-in at the counter, possibly to encourage payment of baggage fees",Negative,False,"""""",Neutral,True,Charging $30 for check-in at the counter if no bag is checked with an economy ticket,Negative
12,"✅ Trip Verified |  Airline management was terrible, Boarding was a disaster, as a Star Alliance Gold member arrived at the gate as posted time. The cleaning crew had not even started, waited in line 45+ minutes. On taxi, mechanical issue, aircraft had mechanical problem on taxi, returned to the gate. New 777-200 located, delayed 2 hours, arrived at the gate and again at the boarding time, the cleaning crew had not even boarded the plane. In boarding line again 1hours. Wi-Fi not operable for entire flight",False,"""""",Negative,False,"""""","Negative (regarding overall experience, but not about the frequent flyer program value specifically)",False,"""""",Negative
13,"Not Verified |  Newark to Delhi. This was first time i booked international flight for my family through United Airlines it was really worst experience i ever had with any airlines.The flight UA82 was scheduled from Newark to Delhi at 9:50 PM on 16th April 2019. We went to airport with 2 small kid (1 infant) and really struggled for checkin, United airlines agent were really arrogant and not responding properly on query, anyway i spent 1 hour and 30 minute finding what to do and agents sending me here and there. At last we have been asked to be on a long queue to get help, finally after another 40 minute on queue we have been told that flight is cancelled and that is the reason we had difficulty in checkin through kiosk. Wow this was terrible, i had to drive 60 miles to reach airport and now i hear flight is cancelled, there was no prior intimation on cancellation of the flight. Thankfully i kept few days of gap for my next flight from Delhi to Raipur. I was given only one option of connecting flight next day which i had no choice of denying so accepted. I really never thought United Airlines is going to be such a terrible experience. Now onwards UA would be a last option to fly with.",False,"Review is about flight cancellation and poor service during check-in, not about upgrade policy",Negative,False,"Review is about flight cancellation and service experience, not about freq flyer program value",Negative,False,"""""",Negative (regarding overall experience with United Airlines)
14,Not Verified | Calgary to Cancun via Denver. One of the worst experience with this airline. Will not recommend anyone to travel with this airline. Staff at Calgary airport was very rude. Me and my wife were travelling to Mexico even upon asking seats were given separately through out our travel. We had to request passengers to switch seats. 2 hand carrys were allowed for 2 passengers. Staff was still forcing us to book the hand carry as it was too big. Me and my wife travel alot but next time we will pay extra $$$ to travel but will not be travelling from United Airlines. Not recommended at all.,False,"""""",Negative,False,"""""",Negative,False,"""""",Negative (regarding overall experience with the airline)
15,"✅ Trip Verified | Los Angeles to Boise. Flight was delayed 4 hours before we even landed from our connecting flight. 3 more delays added to the first and absolutely no communication from United Airlines and zero consideration for the 12 extra hours spent in the terminal. Had to change flights to avoid another delay. If you’re going to delay that many times, just cancel the flight.",False,"""""",Negative,False,"""""",Negative (regarding flight delays and communication),False,"""""",Negative (for category: Flight Delays and Communication)
16,✅ Verified Review |  Los Angeles to Portland via San Francisco. United Airlines has the absolute worst customer service. They are unhelpful and act as if they are doing all they can do just to take your money. Their rules for flights are ridiculous and cheap. Never again will I book a flight with united. They made a vacation into a stress filled week.,False,"""""",Negative (regarding overall experience with United Airlines),False,"""""",Negative (but not relevant to the category),True,"Complaint about United Airlines' customer service, rules, and fees",Negative
17,"WaShington to Honolulu via San Francisco with United. Crew to SFO not so friendly. Not bad, just not friendly or welcoming. San Franisco airport boarding was late and there were no seats in the waiting area, so it set up a chaotic atmosphere. The flight was totally full and I had to check my carry on, even though it fit in the size checker. Annoying, since I did not have any other checked bags, and it was not an issue on any of the other flights. Won't book with United again as the airline lacked customer service.",False,"""""",Negative,False,"""""","Negative (but about overall experience, not Freq Flyer Program Value)",False,"""""",Negative (regarding overall experience with United)
18,"Not Verified | My family and me were supposed to go to Florida on Wednesday, we were at the airport waiting, it was almost time to board the plane but they delayed it. They delayed it twice!! Then after delaying it they canceled it. They didn’t have anymore flights until Friday so we waited, we woke up at 6 am to go to the airport just to find out they canceled it again. Every time they just say “go to customer service” or to “additional services” but the lines are huge. No one wants to wait there and take time out of their day just for them to reschedule the flight and then cancel it the day before or the day of the flight. Worst part is that they sent out our luggage to Orlando while we are still in Houston. So now we were left without luggage even though United Airlines told us that they will not send our luggage until we are sent out to Florida but come to find out they sent it out either way. So we are left without a plane ride to Florida and we have no luggage. I do not recommend this airline to any one. Crazy how United Airlines is supposed to be the best airline but they keep cancelling everyone’s flights and have horrible customer service.",False,"""""",Negative,False,"""""",Negative,False,"""""",Negative
19,"✅ Verified Review |  Newark to Edinburgh. This flight was a disgrace. We arrived at the airport and the ground crew who accepted our luggage was as unhelfpul and impolite. Our luggage was one kilo to heavy and the guy was making a big scene out of it, afterwards we just through a towel away and he was happy. The flight was horrible. I booked my flight on the lufthansa homepage, and if I would have known that I'm flying with United I would have never booked it. Just a brief look at the Skytrax rating showed me what I should expect and the reality is even worse. The entertainment system was broken, my front seat pocket was ripped, one toilet was out of order so lots of waiting people standing next to me during the flight. The toilet was filthy when I used it and the toilet seat was broken. This was just a horrible, terrible flight not worth a penny.",False,"""""",Negative,False,"""""",Negative,False,"""""",Negative
20,"United Airlines is a very chintzy airline with a rather unpleasant corporate culture, but I do find them to be reliable out of Newark Airport. The flight went right on time, but the legroom was very limited, the seats were uncomfortable, and their new free snack mix (that they are so proud to be offering) was small and barely edible. I flew Jetblue on this same route and it was a much better experience. United is not keeping up with the competition.",False,"""""",Negative (regarding United Airlines' general service),False,"""""","Negative (regarding United Airlines' service overall, not specifically the Freq Flyer Program Value)",False,"""""","Negative (regarding overall experience with United Airlines, not specifically about extra charges or hidden fees)"
21,"✅ Verified Review |  Orlando to Indianapolis via Chicago. After sitting for 30 min on plane at the gate we were notified of a hydraulic leak seen by nose gear. We sat at gate on plane for almost an hour before finally being cleared. Our connecting flight was to leave Chicago at 12:15, there were about 8-10 of us just on this flight due to be on same connecting flight. We arrived and ran as fast as possible to get to the gate and got there at 12:06 and gate was already closed. Their delay in first place caused us to be late and yet they couldn't wait a few min for us to get there. Plane was still at gate, luggage still being loaded etc. so in a nutshell their plane leaving an hour late wasn't an issue but waiting 6-8 minutes for 8-10 passengers to arrive due to their issue late by 6 min wasn't good enough. United never again.",False,"""""",Negative (regarding flight delay and connection issues with United),False,"""""",Negative (regarding flight delay and connection issues with United),False,"""""",Negative
22,✅ Trip Verified |  Portland to Denver. What a joke of an airline. I was forced to fly United because there were no last minute southwest/Alaska flights where I was going. Now I know why everyone says don’t fly United. Pretty sure their employees get a bonus for being as incompetent as possible. They don’t tell you that you can’t carry on a bag unless you buy a more expensive ticket. Had to wait in line just to pay $40 to check my miniature carry on bag. Not a single person expressed any sort of sympathy or understanding. I will never fly United again and I hope they go out of business due to their poor decisions as a company. What an awful airline.,False,"""""","Negative (regarding overall experience with United, not specifically about upgrade policy)",False,"""""",Negative,True,"Had to pay $40 to check a carry-on bag, no sympathy from staff",Negative
23,"Not Verified |  This was the absolute most miserable flight. The seats were the smallest i have ever sat in and there was absolutely no leg room. The staff was very standoffish, not helpful at all.",False,"""""",Negative,False,"""""",Negative,False,"""""",Negative
24,"This was very much a bare boned flight. There was no in-flight entertainment. At the last minute, as part of the closing doors announcement, the flight attendant announced that entertainment was only available through the United app, which she stated should be downloaded while we were on the ground. I'm fairly certain there was a charge for the entertainment, plus a charge for the necessary wifi connection. The premium economy was okay. It did have extra legroom and more recline (my big issue) than regular economy seats, but the width was barely adequate. And the aisles seem to have gotten narrower since I last flew on a plane. The only food available was for sale. It felt like the old time trains with someone hawking food and drinks throughout the trip.",False,"""""",Neutral,False,"""""",Neutral (The review is more about the flight experience than the frequent flyer program.),False,"""""","Neutral (The review discusses the lack of in-flight entertainment and narrow aisles, but it does not express sentiment towards extra charges or hidden fees.)"
25,"Newark to Buenos Aires via Miami. Yesterday, upon arrival to Newark airport I was told I could not get a boarding pass as I had not paid the entrance fee to Argentina. A United Airlines employee went out of his way over the course of an hour to get me online, provided me with the website and even carried my luggage to the area where he was able to print out the proof of payment so I could make my trip. I don't know if I have ever encountered better customer service. Without him, I don't think I would have made my flight. I am beyond impressed with United's Customer service and if I have a choice to fly in the future, it will be with United.",False,"""""",Positive (for the customer service and United Airlines),False,"""""","Positive (for the customer service aspect, even though it's not the category)",True,Review discusses an extra charge for an entrance fee to Argentina that wasn't included in the flight price.,Positive (towards United's customer service)
26,"✅ Verified Review | Richmond to Lansing via Chicago with United Airlines. Last year, I accidentally scheduled my flight home on Christmas eve night, instead of in the morning. I was very upset because that would have meant I would miss out on Christmas eve dinner and all our family Christmas eve traditions. I was so disappointed at my mistake, especially since I don’t get to see my family very often. I called United, expecting them to only offer to sell me another ticket or charge me a large fee because that is my experience with most airlines. But to my surprise, the woman on the phone was very friendly and helpful and offered to change my flight, with no fees, to the morning so that I could make it home for our family’s Christmas celebrations. I was so relieved! This past October I flew United to Europe and will continue to use them in the future and highly recommend them to others.",False,"Review discusses changing flight time without fees, not upgrade policy",Positive,False,"Review discusses United changing a flight with no fees on Christmas eve, not about Freq Flyer Program Value",Positive,False,"""""",Positive
27,Not Verified |  Newark to Buffalo with United Airlines. Very rude staff at the boarding gate. This is not the first time. Very disappointed. I would never recommend any of my friends and family to this airlines. No respect for customers. They have to teach their staff to respect customers first.,False,"""""",Negative,False,"Review discusses rude staff, not the value of the frequent flyer program",Negative,False,"""""",Negative
28,"Got the early flight from Houston to San Jose, Costa Rica. Unfortunately, United Airlines does not offer special meals on First Class for some of its international flights, thus had to settle with some cold cut fruit and croissant for breakfast. Seats were alright, entertainment system was slightly below average. Service was good. Lounge was ill equipped in food and beverages for an international flight even though there was space to sit.",False,"""""",Neutral,False,"""""",Neutral,False,"""""",Neutral
29,✅ Trip Verified |  As with all budget airlines the staff treat customers poorly. This was disgusting from the booking process. I am a high status star alliance member. But get treated poorly from beginning to end. Their website is a broken mess. I was absolutely unable to make the booking on the website. So I ring in. The price immediately goes up. They force me to do a currency conversion. But then just up the price. And charge me in USD at a higher price. Then I have to pay international fees anyway. But they don't charge me once. 8 times on this one flight I have now had. And the person messes up the booking so bad I have had to make many many phone calls to try fix it. I almost missed the flight because of incompetence of the check in staff. And again I am high status star alliance. So was at the premium check in desk. Came within minutes of missing the flight because of staff incompetence. Didn't get lounge access. Gate staff were surly and uncommunicative. I was trying to find out when the flight would actually take off. To go buy food or visit the toilet. Absolutely unsuccessful. Not bording star alliance customers with United star alliance customers. Entertainment system was broken. Power plug was broken. I paid extra for this SMH charging for services and not rendering. The flight was so late I almost missed my connection. There was absolutely no support from staff to assist me getting to my next flight. Missed the lounge again Same issues at gate. Staff just don't care. With the previous issues I had really hoped to go buy some food and visit a toilet. All of this was quite a way to go. So I sat at the gate. Broken seat. Extremely uncomfortable seat. Broken entertainment. The food. If you could call it that. Was disgusting. It really is the worst food I have seen on international flight. Couldn't even get a snack. I really enjoyed 30 hours without food and barely a toilet Break. United used to be the best. But are now the very worst.,False,"Review focuses on poor treatment, website issues, booking discrepancies, and in-flight problems, not the upgrade policy.",Negative,False,"The review focuses on poor treatment as a high-status Star Alliance member, website issues during booking, staff incompetence, and poor quality of food and amenities. There is no mention of Freq Flyer Program Value.",Negative,True,"erienced price increase, currency conversion issue, and multiple international fees during booking process",Negative
30,"✅ Trip Verified |  Chicago to Hong Kong. This was my first time flying a United long haul international route. I made sure I included long haul since you can fly a 90 minute international flight from Chicago to Toronto which is no different from their domestic service. I flew in their soft-release of Premium Economy on my way to Hong Kong, and regular economy in my return flight. I say soft-release since in reality you only get the new seats, and not the full service which goes live down the road - the new seats are great! I got into these seats due to the new 777-200 configuration on my trip to Hong Kong which is a 3-4-3 setup in economy, and 2-3-2 in Premium Economy. I had a front row seat which means the tray and TV comes out from underneath the seat, and both worked really well. The seat itself is wider than regular economy by a couple of inches, and you can feel it. It also reclines by an inch more which didn't make much of a difference to me since I need a full bed to sleep well, but it was nice to lay back a little more with the foot rest they provide. You have a nice little storage container on the side of the seat which is perfect for tablets and smart phones, and the chargers worked great. It charged my phone up quickly, and it was easy to open and pull out my tablet when I watched some shows. The screen these new seats have is notably wider, and had a very responsive touch screen that worked well, and the quality was in HD. I watched the latest Mission Impossible, and the screen felt like a nice tablet now. On top of that, the entertainment selections were great. They had a lot of new movies, classics, and international choices. Overall if the Premium Economy is only a 25-33% upgrade cost, then get it for the seat alone. That said, I had the old 777-200 configuration on the return flight, and there is no Premium Economy seats yet. The biggest disappointment in the old configuration is no chargers, or they don't work. I know the old configuration is on it's way out, thank god, but they haven't been touched much since the 90s. United loses a point for not at least adding some proper chargers by 2010. Otherwise, it's a typical economy seat. Not bad, but nothing notable. Finally, the service itself overall was good. Obviously your crew will vary, but it seems like the international crew to and from Hong Kong was friendly and top notch. They had all announcements in English, Cantonese, and Mandarin which is great for the Chinese travelers on board. To me it says a lot how they accommodate foreign travelers to where you're heading. As I said earlier, the service was very friendly and active. Meanwhile the food isn't bad. The breakfast on United is quite good since I had the omelet on the way over, and the quiche on the way back. The dinner was okay, but overall it's 4/5 for the food. Overall United gets a solid review from me. I think they are treated a little unfair at times. Are they ANA? Of course not, but they aren't a 2-3 out of 10. To me a 2 signals they are god awful, and that isn't the case. The only true negative is the Wi-Fi, and it isn't worth the price. As long as the flight is smooth, comfortable, and the staff is friendly, then they do a solid job. Finally, for a 15 hour flight costing only a $1000, then you can't beat the price for what you get.",True,"Describes a positive experience with United's Premium Economy seat on a long-haul international flight from Chicago to Hong Kong, but also mentions the old configuration on the return flight lacks chargers.",Positive (focusing on the positive aspects of the experience),True,"Describes a positive experience with United's Premium Economy seat on a long-haul international flight from Chicago to Hong Kong, but also mentions the old configuration on the return flight lacks chargers.",Positive (focusing on the positive aspects of the experience),True,"Describes a positive experience with United's Premium Economy seat on a long-haul international flight from Chicago to Hong Kong, but also mentions the old configuration on the return flight lacks chargers.",Positive (focusing on the positive experience with the new Premium Economy seat)
31,"✅ Trip Verified |  United Airlines at LAX literally the worst service I’ve ever received in my life and I have flown more than 3 dozen times. They forced me to check a small backpack for no reason other than I had a purse on me which they counted as another personal item. Many other people did this with much larger purses and carry on items. Complete and total garbage customer service at LAX. Will not fly United ever again even if it’s cheaper, especially in Los Angeles.",False,"""""",Negative,False,"""""",Negative,True,Forced to check a small backpack for no reason and charged extra,Negative
32,✅ Trip Verified |  The United airline rep took my bag and say they going to check it in for me. But they never did. They took my bag but never send to to my arrival destination. I ask and call many times but they never found my bag. Literally the airline take my bag but never register it or sending it to me. Now I lost a luggage with all my clothes and valuable in there and they never gave me a clear answer of when or where my luggage is. This is the worst airline I have ever flew in my life. I don’t know how this type of airline with such terrible customer service still be in business.,False,"""""",Negative,False,"""""",Negative,False,"""""",Negative
33,"United Airlines staff at the airports and on the plane were polite and efficient. The smaller Embraer jets are nice for the single traveler, as they're designed with a single seat on the right side, so you get both window and aisle. The extra leg room in economy plus seating is worth the extra expense ($30-$45 on the segments I flew). The seats themselves are adequate, but not comfortable. This is an industry wide problem, and not in any way unique to United. The biggest disappointment is the WiFi service. From previous experience, it seems to work very well on their Airbus fleet. The Airbus fleet usually does not have tv screens in the seat backs, so the WiFi service on those planes comes with a library of movies and TV shows to watch. This works very well if you've got a tablet or some other device to watch them on. The Boeing portion of their fleet is another matter entirely. The more recent planes have the TV screens in the seats. There's a basic program that runs during the flight, but if you want to watch anything else, there's a fee. The WiFi service on the Boeing aircraft also seems to be spotty at best. It hasn't worked at all on 3 of the 4 segments I've flown in the last couple months. The Embraer planes fly the short routes. I have yet to come across one of these with WiFi service or a seat back screen. But, given the flights I've been on have only been about 90 minutes, this isn't a big problem. Bottom line: bring a tablet or small computer and download a couple of movies on it first.",False,"""""",Neutral,False,"""""","Neutral (The review discusses various aspects of the United Airlines experience, but none of them pertain to the Freq Flyer Program Value.)",False,"""""","Neutral (The review discusses both positive and negative aspects of the United Airlines experience, but does not explicitly mention extra charges or hidden fees.)"
34,"So disappointed. Very unsatisfactory flight from Kona to Los Angeles. Told it was a Continental plane now flying under United name. No comparison to our flight going in the other direction. Business section smaller, less leg room, no TV or video equipment at all. Seats not customizable. Attendant stated before take off, when you could not hear the muffled slurred comment something about downloading the United app to get TV or movies. She never said clearly and specifically the we needed to do so prior to take off. Once in the air, no way to see movies or TV on an almost 5 hours flight. Why should I have to download a United app, what if I had not had electronic items with me? Paid the same for a far different experience. On the other plane they handed out a portable tablet to watch entertainment. Come on United, get current. Food offerings were both full of dough, either ravioli or a calzone. Service adequate but not personable and acceptable. United you have lost me.",False,"""""",Negative (regarding flight experience),False,"""""",Negative (regarding flight experience),False,"""""",Negative (for category: In-flight Experience)
35,"✅ Trip Verified |  Bozeman  to Houston. The plane broke down as we were first pushed out for the take off. Got deplaned. I understand safety first.Missed our flight to Auckland New Zealand. Told the customer service person 3 times I could not hear her whispering to me but would still not speak up! Told me I had to check in 2 hours before to board my flight to New Zealand! 20 plus hour layover! Will not reimburse me for my seat selection purchase I lost! Tried to put us up in a terrible motel. Lousy food vouchers with no clue who would accept them. Tried to make sure my tickets were reissued and that staff member sucked too! Told me to go to the Air New Zealand and check in but didn't bother to tell me they wouldn't be there til 4:30pm. Lost a day of vacation, lost a night in a motel room I paid for. Lots of other fellow travelers were not happy. Do not plan to fly with this airline again after this.",False,"""""",Negative,False,"""""",Negative,False,"""""","Negative (for the category of ""Overall Airline Experience"")"
36,"Not Verified |  I booked my flights (non-stop which is very important to us) August 2022 and received an email a couple of days ago telling me my flight now has stops. I called to see what they could do to switch us to another flight, give us a discount or upgrade us. All they offered was a refund. This has inconvenienced us very much because now we are having to pay at least $1000 more in tickets.",False,"""""","""""",False,"""""","""""",False,"""""",""""""
